站名,地址,營業時間,目前狀態,緯度,經度,gx_media_links
台亞汐止大同加油站,新北市汐止區大同路二段37號(近汐科火車站),24HR,已啟用,25.063509,121.647806,https://cdn.gogoro.com/resources/images/gostations/TW2218401A_01.jpg
台北捷運丹鳳站,新北市新莊區中正路捷運站1號出口(近捷運站機車轉乘停車場/貴鳳街口),24HR,已啟用,25.029508,121.423687,https://cdn.gogoro.com/resources/images/gostations/TW2425601A_01.jpg
台北捷運亞東醫院站,新北市板橋區南雅南路二段捷運站1號出口(近元智紀念館),24HR,已啟用,24.999723,121.452902,https://cdn.gogoro.com/resources/images/gostations/TW2206001A_01.jpg
台北捷運內湖機廠站,台北市南港區經貿一路265號(近捷運內湖機廠機車轉乘停車場),24HR,已啟用,25.061720,121.617801,https://cdn.gogoro.com/resources/images/gostations/TW1156803A_01.jpg
台北捷運劍南路站,台北市中山區敬業二路捷運站2號出口(近捷運站機車轉乘停車場),24HR,已啟用,25.084657,121.554525,https://cdn.gogoro.com/resources/images/gostations/TW1046401A_01.jpg
台北捷運劍潭站, 台北市士林區基河路捷運站2號出口(近捷運站機車轉乘停車場),24HR,已啟用,25.082826,121.524523,https://cdn.gogoro.com/resources/images/gostations/TW1116303A_01.jpg
台北捷運唭哩岸站,台北市北投區西安街二段捷運站1號出口(近捷運站機車轉乘停車場),24HR,已啟用,25.120401,121.507785,https://cdn.gogoro.com/resources/images/gostations/TW1126501A_01.jpg
台北捷運士林站,台北市士林區中正路247巷捷運站2號出口(近捷運站機車轉乘停車場),24HR,已啟用,25.092362,121.526309,https://cdn.gogoro.com/resources/images/gostations/TW1116304A_01.jpg
台北捷運大湖公園站,台北市內湖區成功路五段捷運站1號出口(近捷運站機車轉乘停車場),24HR,已啟用,25.083969,121.602318,https://cdn.gogoro.com/resources/images/gostations/TW1147701A_01.jpg
台北捷運府中站,新北市板橋區縣民大道一段捷運站2號出口(近捷運站機車轉乘停車場),24HR,已啟用,25.009508,121.460020,https://cdn.gogoro.com/resources/images/gostations/TW2205501A_01.jpg
台北捷運復興崗站,台北市北投區中央北路三段53巷捷運站1號出口(近捷運站機車轉乘停車場),24HR,已啟用,25.137711,121.486321,https://cdn.gogoro.com/resources/images/gostations/TW1125703A_01.jpg
台北捷運忠義站,台北市北投區中央北路四段捷運站1號出口(近捷運站機車轉乘停車場),24HR,已啟用,25.130557,121.472600,https://cdn.gogoro.com/resources/images/gostations/TW1125702A_01.jpg
台北捷運新店站,新北市新店區北宜路一段2號(近新加州景觀旅館),24HR,已啟用,24.958803,121.537847,https://cdn.gogoro.com/resources/images/gostations/TW2315201A_01.jpg
台北捷運民權西路站,台北市中山區民權西路70巷捷運站3號出口(近捷運站機車轉乘停車場)​,24HR,已啟用,25.061359,121.520026,https://cdn.gogoro.com/resources/images/gostations/TW1044901A_01.jpg
台北捷運永寧站,新北市土城區中央路三段捷運站1號出口(近中央路三段98巷),24HR,已啟用,24.966703,121.435630,https://cdn.gogoro.com/resources/images/gostations/TW2367101A_01.jpg
台北捷運江子翠站,新北市板橋區雙十路2段捷運站3號出口(近捷運站機車轉乘停車場),24HR,已啟用,25.029573,121.472599,https://cdn.gogoro.com/resources/images/gostations/TW2204401A_01.jpg
