站名,地址,營業時間,目前狀態,緯度,經度
21世紀不動產天母三越加盟店站,台北市士林區天母東路67號(近新光三越百貨天母店),24HR,已啟用,25.118233,121.534309
23區站,台北市士林區重慶北路四段241號(近重陽大橋),24HR,已啟用,25.085638,121.510853
7-ELEVEN 上誠店站,台中市西區向上路一段381號，383號，385號(向上路一段/精誠路交叉口),24HR,已啟用,24.146529,120.655434
7-ELEVEN 宏橋店站,新竹縣湖口鄉工業一路7號(光復路/工業一路交叉口),24HR,已啟用,24.870261,121.026532
7-ELEVEN 岦湖店站,新竹市香山區內湖路138號(近內湖國小),24HR,已啟用,24.741642,120.906032
7-ELEVEN 晨希店站,新竹縣湖口鄉榮光路617號(榮光路/三民路交叉口),24HR,已啟用,24.866089,120.997233
7-ELEVEN 榮鑫店站,台北市中山區建國北路三段89及91號前(近榮星花園),24HR,已啟用,25.065727,121.536721
7-ELEVEN 樹王店站,台中市大里區文心南路1252號(文心南路/東興路交叉口),24HR,已啟用,24.105391,120.667464
7-ELEVEN 福田店站,台中市南區文心南路885號(文心南路上近樹義國小),24HR,已啟用,24.110886,120.659457
7-ELEVEN 精科店站,台中市南屯區嶺東路368號(近嶺東路/文山三街),24HR,已啟用,24.145265,120.610900
7-ELEVEN 逢喜店站,台中市西屯區逢甲路247號(近至善國中/逢甲公園),24HR,已啟用,24.176132,120.640854
7-ELEVEN 鄭子寮店站(建置中),台南市北區北成路442號(近北成路/育德二路口),24HR,建置中,23.019090,120.201530
7-ELEVEN 靜大店站,台中市沙鹿區晉江里台灣大道七段142號(近靜宜大學),24HR,已啟用,24.223572,120.578450
Airport 淡水站,新北市淡水區中山路71號(近淡水老街),24HR,已啟用,25.170427,121.442856
Diamond+專業汽車美容中心站,新北市永和區保安路23號(近保安路/文化路口),24HR,已啟用,25.016628,121.510266
FamilyMart 台中金原店站,台中市北屯區太原路三段231號(近太原路/青島路口),24HR,已啟用,24.165089,120.692277
