VmId,站名,地址,營業時間,目前狀態,緯度,經度,gx_media_links
f0947928-fae7-44dd-9b47-97fc0bf8bb38,福懋中壢加油站,桃園市中壢區中正路二段139號(近中正路二段206巷),24HR,建置中,24.975596,121.196364,https://cdn.gogoro.com/resources/images/gostations/TW3205101A_01.jpg
f0adb552-6c48-4fb6-8f37-10d6045c45c3,Gogoro 北屯文心授權服務中心站,台中市北屯區文心路四段949、951號(近四維國小對面),24HR,已啟用,24.171141,120.694834,https://cdn.gogoro.com/resources/images/gostations/TW4065402A_01.jpg
f1f48a4f-6acd-4bbf-966c-b1cbb4e6473e,全聯平鎮中豐店站,桃園市平鎮區中豐路南勢二段326號(近平南國中),24HR,已啟用,24.910986,121.210525,https://cdn.gogoro.com/resources/images/gostations/TW3246301A_01.jpg
f25d427f-08e9-4985-ad23-9e7535dec5f3,全聯長治潭頭店站,屏東縣長治鄉潭頭路86號(近潭頭路/頭路37巷口),24HR,建置中,22.675655,120.525335,https://cdn.gogoro.com/resources/images/gostations/TW9084301A_01.jpg
f2e5f928-fc3c-40fb-bf35-16b614f19b8d,Gogoro 桃園服務中心站,桃園市桃園區復興路20號(近桃園學苑),24HR,已啟用,24.990983,121.318401,https://cdn.gogoro.com/resources/images/gostations/TW3306501A_01.jpg
f323f66e-5589-4901-8e87-e42339bcde05,HiLife 新北建國店站,新北市新店區中正路282號之10號(近新店耕莘醫院),24HR,已啟用,24.974260,121.538013,https://cdn.gogoro.com/resources/images/gostations/TW2314801A_01.jpg
f344155c-bd64-4c87-9495-fa0aed24d482,全聯清水中興店站,台中市清水區中興街57號(近中興街/西寧路口),24HR,已啟用,24.271924,120.574976,https://cdn.gogoro.com/resources/images/gostations/TW4365501A_01.jpg
f34d6247-fa90-4ad2-9057-6d0513d1294f,全聯桃園新屋店站,桃園市新屋區中山路409號(近中山路與中正路198巷交岔口),24HR,已啟用,24.973081,121.101114,https://cdn.gogoro.com/resources/images/gostations/TW3275002A_01.jpg
f4398a3e-93e7-4972-855a-d9cf83b5a672,全聯南投學藝店站,南投縣南投市學藝路27號(近向上公園),24HR,已啟用,23.950059,120.688614,https://cdn.gogoro.com/resources/images/gostations/TW5404601A_01.jpg
f5578fd2-9f61-4676-a552-0e961a53345b,Gogoro 三民鼎強授權服務中心站,高雄市三民區鼎強街95-1號(近鼎中里活動廣場),24HR,已啟用,22.665473,120.320834,https://cdn.gogoro.com/resources/images/gostations/TW8078801A_01.jpg
f55f29f9-a8c0-4eb4-9a20-16ae93205799,全聯豐原三豐店站,台中市神岡區五權路1號(近五權路/東洲路口),24HR,已啟用,24.258702,120.713099,https://cdn.gogoro.com/resources/images/gostations/TW4294501A_01.jpg
