站名,地址,營業時間,目前狀態,緯度,經度
7-ELEVEN 逢喜店站,台中市西屯區逢甲路247號(近至善國中/逢甲公園),24HR,已啟用,24.176132,120.640854
7-ELEVEN 鄭子寮店站,台南市北區北成路442號(近北成路/育德二路口),24HR,已啟用,23.019090,120.201530
7-ELEVEN 靜大店站,台中市沙鹿區晉江里台灣大道七段142號(近靜宜大學),24HR,已啟用,24.223572,120.578450
Airport 淡水站,新北市淡水區中山路71號(近淡水老街),24HR,已啟用,25.170427,121.442856
BDO比多手作體驗館站,台中市北屯區軍福九路306號(近和祥公園),24HR,已啟用,24.169388,120.726377
Diamond+專業汽車美容中心站,新北市永和區保安路23號(近保安路/文化路口),24HR,已啟用,25.016628,121.510266
FamilyMart 台中金原店站,台中市北屯區太原路三段231號(近太原路/青島路口),24HR,已啟用,24.165089,120.692277
Global Mall 桃園A8 站,桃園市龜山區文化一路10巷42弄(地下二樓機車停車場)(近林口長庚紀念醫院),24HR,已啟用,25.060071,121.370365
Gogoro 三重正義店站,新北市三重區正義北路24號(近捷運台北橋站),24HR,已啟用,25.063183,121.497509
Gogoro 中壢復興店站,桃園市中壢區復興路71號(近中央東路/復興路口),24HR,已啟用,24.956288,121.224803
Gogoro 光華八德店站,台北市中正區八德路一段27號(近光華商場),24HR,已啟用,25.044102,121.531252
Gogoro 全球體驗中心站,台北市信義區松壽路18號(近華納威秀廣場),24HR,已啟用,25.035581,121.566460
Gogoro 台中三民店站,台中市北區三民路三段146號(近中友百貨),24HR,已啟用,24.151344,120.684871
Gogoro 台中大里店站,台中市大里區東榮路一段132號(近中興路/東榮路口),24HR,已啟用,24.110048,120.690452
Gogoro 台中柳川服務中心站,台中市北區柳川東路四段112號113號(近中國醫藥大學),24HR,已啟用,24.155132,120.681318
Gogoro 台中永福店站,台中市西屯區永福路172號(近愛買永福店),24HR,已啟用,24.185762,120.621629
Gogoro 台南公園店站,台南市中西區公園路36號(近公園路/民權路二段路口),24HR,已啟用,22.994652,120.205513
Gogoro 圓山服務中心站,台北市大同區承德路三段237號(近花博公園),24HR,已啟用,25.071016,121.518642
Gogoro 土城明德服務中心站,新北市土城區明德路二段129號(近新北市立新北高工),24HR,已啟用,24.982322,121.449674
Gogoro 土城裕民店站,新北市土城區裕民路178號(近裕民路/學府路口),24HR,已啟用,24.985225,121.452661
Gogoro 基隆忠二服務中心站,基隆市仁愛區忠二路17號(近基隆火車站),24HR,已啟用,25.130015,121.740106
Gogoro 士林文林店站,台北市士林區文林路65號(近士林夜市),24HR,已啟用,25.087291,121.525723
Gogoro 大里德芳服務中心站,台中市大里區德芳南路459號(近國光路/德芳南路口),24HR,已啟用,24.104368,120.682630
Gogoro 師大和平店站,台北市大安區和平東路一段129號(近和平東路一段141巷口),24HR,已啟用,25.026744,121.530265
Gogoro 新店北新服務中心站,新北市新店區北新路三段211巷11號(近台北矽谷國際會議中心),24HR,已啟用,24.985289,121.540085
Gogoro 新竹北大店站,新竹市北區北大路321號(近中正棒球場),24HR,已啟用,24.805894,120.962052
Gogoro 新莊中正服務中心站,新北市新莊區中正路57號(近捷運頭前庄站3號出口),24HR,已啟用,25.039726,121.462035
Gogoro 新莊幸福店站,新北市新莊區幸福路728號一樓(近新莊佳瑪百貨),24HR,已啟用,25.049284,121.448873
Gogoro 板橋館前店站,新北市板橋區館前東路26號(近誠品生活板橋店),24HR,已啟用,25.007247,121.460365
Gogoro 桃園中正店站,桃園市桃園區中正路50號(近統領百貨桃園店),24HR,已啟用,24.990967,121.313085
Gogoro 桃園服務中心站,桃園市桃園區復興路20號(近桃園學苑),24HR,已啟用,24.990983,121.318401
Gogoro 永和中正店站,新北市永和區中正路236號(近八二三紀念公園),24HR,已啟用,24.998068,121.516220
Gogoro 萬華中華店站,台北市萬華區中華路二段100號(近中華路二段/莒光路口),24HR,已啟用,25.031298,121.503990
Gogoro 豐原中山服務中心站,台中市豐原區中山路510巷15號(近豐原郵局),24HR,已啟用,24.251841,120.715361
Gogoro 饒河服務中心站,台北市松山區八德路四段650號(近饒河夜市),24HR,已啟用,25.049856,121.574954
Gogoro 高雄中山店站,高雄市新興區中山一路2號(近捷運中央公園站2號出口),24HR,已啟用,22.624185,120.301153
HiLife 三民鼎金店站,高雄市三民區鼎中路139號(近鼎中路/金山路口),24HR,已啟用,22.661849,120.319036
HiLife 三重商工店站,新北市三重區中正北路282號(近三重商工),24HR,已啟用,25.068558,121.480642
HiLife 仁德二仁店站,台南市仁德區二仁路一段99號(近嘉南藥理科技大學),24HR,已啟用,22.918866,120.225661
HiLife 台中中大店站,台中市南區興大路300號(近中興大學),24HR,已啟用,24.119008,120.671731
HiLife 台中中屯店站,台中市西屯區文心路三段91號(文心路三段與西屯路二段交叉口),24HR,已啟用,24.166497,120.652135
HiLife 台中中萊店站,台中市西屯區中清路二段1388號，1390號(中清路二段/中清路二段1386巷交叉口),24HR,已啟用,24.195932,120.658112
HiLife 台中中都店站,台中市西屯區西屯路三段173-25號(近台中都會公園),24HR,已啟用,24.190811,120.594805
HiLife 台中干城店站,台中市中區雙十路一段27-1、27-2、27-3號(近雙十路/光復路交叉口),24HR,已啟用,24.141111,120.685750
HiLife 台中建興店站,台中市南區復興路二段175-1.175-2號(近四育國中),24HR,已啟用,24.127435,120.666004
HiLife 彰化國聖店站,彰化縣彰化市中山路三段706號(近國聖國小),24HR,已啟用,24.094589,120.569448
HiLife 新竹竹亮店站,新竹市東區光復路二段962號1樓(近市立體育場),24HR,已啟用,24.803544,120.979972
HiLife 新竹竹諺店站,新竹市北區中華路三段88號(近中華路三段/林森路口),24HR,已啟用,24.796878,120.961037
HiLife 新竹竹高店站,新竹市東區高峰路1號(近高峰路/寶山路口),24HR,已啟用,24.794182,120.972925
HiLife 林口麗園店站,新北市林口區文化一路一段52號(近林口區農會),24HR,已啟用,25.069528,121.371525
HiLife 竹北北鮮店站,新竹縣竹北市大同街33號(近三民路/大同街口),24HR,已啟用,24.834422,121.009722
HiLife 竹北竹文店站,新竹縣竹北市縣政九路215號(近縣鎮九路/文信路口),24HR,已啟用,24.831976,121.011947
HiLife 竹北竹發店站,新竹縣竹北市縣政二路175號(近縣政二路/文信路口),24HR,已啟用,24.831333,121.018018
HiLife 竹北鳳岡店站,新竹縣竹北市中華路1165號(近中華路/鳳岡路一段路口),24HR,已啟用,24.855245,121.001746
HiLife 竹東巨星店站,新竹縣竹東鎮中興路二段426號(近中興路二段/三重路口),24HR,已啟用,24.765030,121.058720
HiLife 豐原豐民店站,台中市豐原區三民路86號(近豐原國小),24HR,已啟用,24.253710,120.720670
HiLife 鳳山鳳頂店站,高雄市鳳山區高鳳一路70號(近高鳳一路/頂庄路口),24HR,已啟用,22.588277,120.366166
Impact Hub 站,台北市大安區和平東路二段265巷3號(近和平東路/復興南路口),09:00 ~ 21:00,已啟用,25.025314,121.544104
JOS CAFE & WORK站,新北市永和區永利路108號1樓(近福和國中),24HR,已啟用,25.003378,121.521207
KBN 鐵馬堂站,台北市信義區信安街60號(近通化街夜市),24HR,已啟用,25.026651,121.557692
Nova 資訊廣場中壢店站,桃園市中壢區中正路389號(近中正路/明德南路口),24HR,已啟用,24.955710,121.215123
Nova 資訊廣場新竹店站,新竹市東區光復路二段194巷3號(近國立清華大學),24HR,已啟用,24.794371,121.000882
丁香豆花長安店站,台北市松山區八德路二段387號(近台安醫院),24HR,已啟用,25.048004,121.545249
上下工站,台北市信義區嘉興街181巷9弄54號(近通化街夜市),24HR,已啟用,25.026986,121.557752
中油三多三路加油站(建置中),高雄市苓雅區三多三路264號(近捷運三多商圈站),24HR,建置中,22.614438,120.304910
中油三民路加油站,桃園市桃園區三民路一段150號(近三民運動公園),24HR,已啟用,24.999522,121.320535
中油三義加油站,苗栗縣三義鄉中正路146號(近三義鄉公所),24HR,已啟用,24.412225,120.769988
中油中壢工二加油站,桃園市中壢區吉林路37巷15號(近文化公園),24HR,已啟用,24.979948,121.246969
中油中山路加油站,桃園市桃園區中山路522號(近桃園市政府),24HR,已啟用,24.992133,121.300215
中油中崙加油站,台北市中山區八德路二段214號(近八德路/龍江路口),24HR,已啟用,25.046342,121.539256
中油中正二路加油站(建置中),高雄市新興區中正二路166號(近捷運文化中心站),24HR,建置中,22.630424,120.317058
中油中正路加油站,苗栗縣竹南鎮中正路120號(近竹南鎮農會),24HR,已啟用,24.684019,120.872416
中油中苗加油站,苗栗縣苗栗市中正路442號(近大川醫院),24HR,已啟用,24.560281,120.821368
中油五城加油站,新北市新店區安康路三段800號(近新店區五城花園公墓),24HR,已啟用,24.940207,121.471027
中油五甲加油站(建置中),高雄市鳳山區五甲一路232號(近五甲一路/國光路口),24HR,建置中,22.618107,120.354896
中油介壽加油站,桃園市桃園區介壽路324號(近福林公園),24HR,已啟用,24.980268,121.305094
中油佳興加油站,桃園市八德區介壽路二段631號(近伍陽城市原創農場),24HR,已啟用,24.940961,121.297910
中油來翔加油站,桃園市桃園區民生路33號(近新光三越桃園站前店),24HR,已啟用,24.990977,121.314960
中油信義路加油站,台北市大安區信義路四段374號(近捷運信義安和站4號出口),24HR,已啟用,25.032721,121.555483
中油健行加油站,桃園市桃園區健行路29號(近家樂福桃園店),24HR,已啟用,25.022010,121.308650
中油光復路加油站,新竹市東區光復路二段716號(近馬偕紀念醫院新竹院區),24HR,已啟用,24.800463,120.989943
中油內壢加油站,桃園市中壢區環中東路346號(近環中東路/永福路口),24HR,已啟用,24.961878,121.254106
中油內湖加油站,台北市內湖區民權東路六段50號(近中天電視大樓),24HR,已啟用,25.068469,121.584293
中油八堵加油站,基隆市暖暖區八堵路158號(近八堵火車站),24HR,已啟用,25.103890,121.725754
中油勝利大安加油站,台北市大安區建國南路二段75-1號(近大安森林公園建國南路側),24HR,已啟用,25.031030,121.537669
中油北寧路加油站(建置中),基隆市中正區北寧路37號(近國立台灣海洋大學),24HR,建置中,25.151179,121.773807
中油南寮加油站,新竹市北區東大路四段292號(近新竹17公里海岸風景區),24HR,已啟用,24.845864,120.927897
中油南港加油站,台北市南港區南港路二段50號(近南港火車站),24HR,已啟用,25.054144,121.604651
中油南鼓山加油站(建置中),高雄市鼓山區捷興二街46號(近捷運西子灣站),24HR,建置中,22.622077,120.275255
中油大嘉好加油站,新北市三芝區錫板里海尾14之32號(近福海路/錫板里海尾口),24HR,已啟用,25.259897,121.477801
中油大園加油站,桃園市大園區中正東路58號(近中正東路/中正一街口),24HR,已啟用,25.063243,121.199127
中油大溪加油站,桃園市大溪區瑞安路一段268號(近大溪橋),24HR,已啟用,24.885623,121.279592
中油大竹加油站,桃園市蘆竹區大竹路503號(近大竹路/大福路口),24HR,已啟用,25.022447,121.260993
中油大義街加油站(建置中),高雄市鹽埕區大義街56-1號(近駁二藝術特區大義停車場),24HR,建置中,22.620697,120.285794
中油安樂加油站,基隆市安樂區麥金路441號(近基隆市婦幼福利中心),24HR,已啟用,25.126587,121.718869
中油富岡加油站,桃園市楊梅區民富路三段574號(近民富路/員本路口),24HR,已啟用,24.933660,121.093314
中油小港加油站(建置中),高雄市小港區大業北路45號(近高雄公園),24HR,建置中,22.568135,120.344013
中油平鎮加油站,桃園市平鎮區延平路二段152號(近義興國小),24HR,已啟用,24.948045,121.210741
中油府前加油站,新竹縣竹北市縣政二路112號(近縣政二路/光明六路口),24HR,已啟用,24.823853,121.015164
中油建國一路加油站(建置中),高雄市苓雅區建國一路142號(近快保中心右側),24HR,建置中(其他狀態100),22.632478,120.330033
中油建國二路加油站(建置中),高雄市三民區建國二路66號(近FamilyMart左側),24HR,建置中,22.637552,120.310546
中油建工路加油站(建置中),高雄市三民區建工路566號(近中華電信對面),24HR,建置中(其他狀態100),22.650384,120.324435
中油建龍加油站,桃園市龍潭區中豐路716號(近中豐路/工五路口),24HR,已啟用,24.888983,121.212964
中油成功一路加油站,基隆市仁愛區成功一路105號(近成功市場),24HR,已啟用,25.126933,121.738021
中油新坡加油站,桃園市觀音區中山路二段794號(近中山路/環中路口),24HR,已啟用,25.010665,121.139445
中油新屋北海加油站,桃園市新屋區三民路61號(近中華路/三民路口),24HR,已啟用,24.970216,121.109920
中油新樹加油站,新北市新莊區中正路501號(近中正路/新樹路口),24HR,已啟用,25.033360,121.440665
中油新湖口加油站,新竹縣湖口鄉中正路二段20號(近中正路/達生路口),24HR,已啟用,24.896844,121.047682
中油新生北路加油站,台北市中山區新生北路二段71號(近新生北路/民生東路口),24HR,已啟用,25.056599,121.527967
中油新竹加油站,新竹市東區中華路二段347號(近太平洋SOGO新竹站前店),24HR,已啟用,24.803351,120.974342
中油昇泉加油站,新北市深坑區北深路三段7號(近福容大飯店台北二館),24HR,已啟用,25.000582,121.610474
中油春日路加油站,桃園市桃園區春日路971號(近春日路/寶山街口),24HR,已啟用,25.010544,121.310304
中油東勇加油站,桃園市八德區東勇街246號(近桃55鄉道東勇街口),24HR,已啟用,24.962546,121.306867
中油東湖加油站,台北市內湖區康寧路三段225號(近捷運東湖站3號出口),24HR,已啟用,25.067589,121.612125
中油林長加油站,新北市瑞芳區瑞濱路32之6號(近瑞濱海灘),24HR,已啟用,25.121147,121.823512
中油梅溪加油站,桃園市楊梅區中山北路一段391號(近天成醫院),24HR,已啟用,24.908575,121.159274
中油楠梓加油站(建置中),高雄市楠梓區高楠公路1376號(近楠梓陸橋北上入口),24HR,建置中,22.719288,120.325220
中油橋頭加油站(建置中),高雄市橋頭區成功北路15號(近橋頭火車站),24HR,建置中,22.762616,120.308132
中油欣欣加油站,新北市新店區安和路三段35號(近陽光運動公園),24HR,已啟用,24.981008,121.517088
中油武陵加油站,桃園市桃園區中山路1020號(近國立武陵高級中學),24HR,已啟用,24.988393,121.284584
中油永錡中正加油站,新北市新莊區中正路692-8號(近中正路/明志路口),24HR,已啟用,25.028484,121.419673
中油永錡保安加油站,新北市樹林區大安路179號(近家樂福樹林店),24HR,已啟用,24.996052,121.421228
中油永錡彭厝加油站,新北市樹林區八德街395號(近環河路/八德街交接口),24HR,已啟用,24.971858,121.415660
中油永錡泰山加油站,新北市泰山區泰林路二段47號(近泰林路/仁德路口),24HR,已啟用,25.057544,121.435248
中油汀州路加油站,台北市中正區汀州路三段1號(近汀州路/師大路口),24HR,已啟用,25.020562,121.525969
中油淡海新市鎮加油站,新北市淡水區埤島里二鄰淡金路二段599號(近淡金公路/新市二路口),24HR,已啟用,25.191833,121.446332
中油湖口北海加油站,新竹縣湖口鄉光華路650號(近光華路/文化路口),24HR,已啟用,24.875394,121.023212
中油瑞芳加油站,新北市瑞芳區中山路200號(近瑞芳國小),24HR,已啟用,25.106869,121.801540
中油瑞豐加油站(建置中),高雄市前鎮區瑞福路2號(近崗山仔公園),24HR,建置中,22.604741,120.336488
中油百祥加油站,新竹市香山區中華路五段111號(近新竹市香山高中),24HR,已啟用,24.787022,120.926565
中油石門加油站,新北市石門區中央路1之15號(近石門國中),24HR,已啟用,25.291234,121.561370
中油福林加油站,台北市士林區中山北路五段465號(近士林夜市),24HR,已啟用,25.092720,121.527594
中油科學園區加油站,新竹市東區龍山里八鄰工業東二路2-2號(近新竹科學園區),24HR,已啟用,24.779536,121.004467
中油竹北加油站,新竹縣竹北市中華路439號(近義民高級中學),24HR,已啟用,24.841332,121.005246
中油竹南加油站,苗栗縣竹南鎮東平路101號(近東平路/維新路口),24HR,已啟用,24.684909,120.883089
中油竹東加油站,新竹縣竹東鎮東寧路一段2號(近東寧路/中豐路口),24HR,已啟用,24.722748,121.096776
中油芎林加油站(臨時),新竹縣芎林鄉上山村文山路554號(近文山路/文德路口),24HR,已啟用,24.777580,121.077370
中油莒光路加油站,新北市中和區莒光路258號(近莒光路/壽德街口),24HR,已啟用,24.993894,121.467653
中油華城加油站,新北市新店區安康路一段319號(近安康路/安華路口),24HR,已啟用,24.963634,121.522112
中油蘆竹加油站,桃園市蘆竹區中正路342號(近中正路/南山路口),24HR,已啟用,25.049573,121.291467
中油覺民路加油站(建置中),高雄市三民區覺民路362號(近快保中心左側),24HR,建置中,22.640441,120.334571
中油觀音加油站,桃園市觀音區中山路一段166號(近中山路/中正路口),24HR,已啟用,25.034799,121.085115
中油車子路加油站,新北市新店區安康路二段269號(近安康路/車子路口),24HR,已啟用,24.957625,121.504348
中油金陵加油站,桃園市平鎮區金陵路二段123號(近環南路/金陵路口),24HR,已啟用,24.940301,121.223289
中油長壽山加油站,新北市三峽區介壽路三段131號(近溪北河濱公園),24HR,已啟用,24.941818,121.397827
中油關東橋加油站,新竹市東區光復路一段529號(近光武國中),24HR,已啟用,24.784764,121.013255
中油關西加油站,新竹縣關西鎮中豐路二段50號(近中豐路/豐德街口),24HR,已啟用,24.793601,121.179728
中油陸海加氣站,台北市松山區濱江街375號(近台北松山機場濱江街側),24HR,已啟用,25.072548,121.552992
中油陽明山加油站,台北市士林區格致路3號(近陽明山頂好超市),24HR,已啟用,25.135239,121.545948
中油頂埔加油站,新北市土城區中央路四段43號(近捷運頂埔站3號出口),24HR,已啟用,24.961747,121.422593
中油順興加油站,新竹縣湖口鄉八德路一段396號(近中山路/八德路口),24HR,已啟用,24.880017,121.036497
中油頭份加油站,苗栗縣頭份市自強路2號(近東園大飯店),24HR,已啟用,24.691012,120.912481
中油高鳳加油站(建置中),高雄市苓雅區建國一路3號(近高雄市農會對面),24HR,建置中(其他狀態100),22.628205,120.343017
中油鳳松加油站(建置中),高雄市鳳山區鳳松路178-5號(近鳳松路180巷),24HR,建置中,22.637151,120.362596
中油龍岡加油站,桃園市中壢區環中東路二段659號(近還中東路/龍岡路口),24HR,已啟用,24.944194,121.229923
中油龍潭加油站,桃園市龍潭區北龍路264號(近北龍路/中正路口),24HR,已啟用,24.867748,121.217448
中油龍門加油加氣站,新北市中和區中正路808號(近中正路/建六路口),24HR,已啟用,25.002691,121.485087
中油龜山加油站,桃園市龜山區萬壽路二段640號(近萬壽路/自強北路口),24HR,已啟用,25.000117,121.346286
九號倉會館站,高雄市三民區美都路9號(近願景橋),24HR,已啟用,22.649180,120.288310
便利停車場建國站,台北市中山區建國北路二段11巷內空地(近建國北路/長春路口),24HR,已啟用,25.053452,121.537860
先奕實業站,台北市大同區昌吉街248號(近環河北路/昌吉街口),24HR,已啟用,25.065812,121.509978
北基中和加油站,新北市中和區中山路三段53號(近環球中和店),24HR,已啟用,25.005568,121.476775
北基基金加油站,新北市萬里區萬里加投19之5號(近大鵬國小),24HR,已啟用,25.209293,121.649886
北基幸運加油站,新北市新莊區新樹路140-1號(近新樹路/建國一路口),24HR,已啟用,25.023053,121.435140
北基忠義加油站,桃園市龜山區忠義路一段496號(近忠義路/光華路口),24HR,已啟用,25.012155,121.347582
北基新海加油站,新北市板橋區新海路137號(近新埔國中),24HR,已啟用,25.023513,121.460444
北基朝陽加油站,桃園市桃園區三民路二段236號(近朝陽森林公園),24HR,已啟用,25.000499,121.311091
北基東宏加油站,桃園市平鎮區南東路69號(近大潤發平鎮店),24HR,已啟用,24.920930,121.214283
北基蘆洲加油站,新北市蘆洲區中山一路310號(近中山一路/中山二路口),24HR,已啟用,25.077482,121.469409
北投熱海溫泉大飯店站,台北市北投區光明路258號(近北投溫泉博物館),24HR,已啟用,25.136547,121.509322
南山人壽新竹科技大樓站,新竹市東區公道五路二段176號(近新竹美麗信酒店),24HR,已啟用,24.799743,121.004877
南山社區站,新北市平溪區靜安路三段250號(近十分風景區),24HR,已啟用,25.040141,121.776024
台亞安坑交流道加油站,新北市新店區安康路一段308號(近安康路/安和路口),24HR,已啟用,24.964380,121.517400
台亞承德加油站,台北市北投區承德路七段303號(近立農公園),24HR,已啟用,25.116422,121.503871
台亞新店中興路加油站,新北市新店區中興路三段131號(近捷運大坪林站1號出口),24HR,已啟用,24.979079,121.544453
台亞汐止大同加油站,新北市汐止區大同路二段37號(近汐科火車站),24HR,已啟用,25.063509,121.647806
台北捷運丹鳳站,新北市新莊區中正路捷運站1號出口(近捷運站機車轉乘停車場/貴鳳街口),24HR,已啟用,25.029508,121.423687
台北捷運亞東醫院站(建置中),新北市板橋區南雅南路二段捷運站1號出口(近元智紀念館),24HR,建置中,24.999723,121.452902
台北捷運內湖機廠站,台北市南港區經貿一路265號(近捷運內湖機廠機車轉乘停車場),24HR,已啟用,25.061720,121.617801
台北捷運劍南路站,台北市中山區敬業二路捷運站2號出口(近捷運站機車轉乘停車場),24HR,已啟用,25.084657,121.554525
台北捷運劍潭站, 台北市士林區基河路捷運站2號出口(近捷運站機車轉乘停車場),24HR,已啟用,25.082826,121.524523
台北捷運唭哩岸站,台北市北投區西安街二段捷運站1號出口(近捷運站機車轉乘停車場),24HR,已啟用,25.120401,121.507785
台北捷運士林站,台北市士林區中正路247巷捷運站2號出口(近捷運站機車轉乘停車場),24HR,已啟用,25.092362,121.526309
台北捷運大湖公園站,台北市內湖區成功路五段捷運站1號出口(近捷運站機車轉乘停車場),24HR,已啟用,25.083969,121.602318
台北捷運府中站,新北市板橋區縣民大道一段捷運站2號出口(近捷運站機車轉乘停車場),24HR,已啟用,25.009508,121.460020
台北捷運復興崗站,台北市北投區中央北路三段53巷捷運站1號出口(近捷運站機車轉乘停車場),24HR,已啟用,25.137711,121.486321
台北捷運忠義站,台北市北投區中央北路四段捷運站1號出口(近捷運站機車轉乘停車場),24HR,已啟用,25.130557,121.472600
台北捷運新店站,新北市新店區北宜路一段2號(近新加州景觀旅館),24HR,已啟用,24.958803,121.537847
台北捷運民權西路站,台北市中山區民權西路70巷捷運站3號出口(近捷運站機車轉乘停車場)​,24HR,已啟用,25.061359,121.520026
台北捷運永寧站,新北市土城區中央路三段捷運站1號出口(近中央路三段98巷),24HR,已啟用,24.966703,121.435630
台北捷運江子翠站(建置中),新北市板橋區雙十路2段捷運站3號出口(近捷運站機車轉乘停車場),24HR,建置中,25.029573,121.472599
台北捷運淡水站,新北市淡水區中正路捷運站2號出口(近鼻頭街)​,24HR,已啟用,25.166938,121.447050
台北捷運竹圍站(建置中),新北市淡水區民權路捷運站1號出口(近捷運站機車轉乘停車場),24HR,建置中(其他狀態100),25.135993,121.459672
台北捷運芝山站,台北市士林區福華路捷運站1號出口(近捷運站機車轉乘停車場),24HR,已啟用,25.101358,121.522666
台北捷運輔大站(3號出口),新北市新莊區福營路捷運站3號出口(近捷運站機車轉乘停車場),24HR,已啟用,25.032480,121.436557
台北捷運輔大站(4號出口),新北市新莊區中正路捷運站4號出口(近捷運站機車轉乘停車場),24HR,已啟用,25.033033,121.436459
台北捷運關渡站(建置中),台北市北投區大度路三段296巷51號(捷運關渡站1號出口),24HR,建置中,25.125283,121.466719
台南安平港風景區停車場站,台南市安平區運河路43號-1(近安平遊憩碼頭旁),24HR,已啟用,22.997400,120.160400
台南東區環保局停車場站,台南市東區中華東路二段133巷72號(近環保局與自強里活動中心之間),24HR,已啟用,22.984130,120.235130
台南永華市政中心站,台南市安平區永華路二段6號(近市政中心左側，機車停車場),24HR,已啟用,22.992150,120.184280
台塑中泰加油站,新北市泰山區泰林路二段32號(近中港西路/泰林路口),24HR,已啟用,25.057258,121.436292
台塑信誠加油站,新北市五股區新五路二段258號(近新北市立圖書館五股分館),24HR,已啟用,25.081706,121.440913
台塑大慶加油站,新北市樹林區三興路50號(近三興路/大慶街口),24HR,已啟用,25.014562,121.395262
台塑政大加油站,台北市文山區指南路一段53號(近木新路/指南路口),24HR,已啟用,24.988278,121.571019
台塑東林加油站,新北市鶯歌區中正一路461之5號(近中正一路/建德二巷口),24HR,已啟用,24.956807,121.364302
台塑福華加油站,台北市文山區興隆路二段244巷1號(近萬芳醫院),24HR,已啟用,25.000692,121.553898
台塑龍形加油站,新北市八里區龍米路二段150號(近龍米河濱公園),24HR,已啟用,25.157114,121.435986
台灣表面黏著科技站,桃園市桃園區桃鶯路437號(近可口可樂世界博物館),24HR,已啟用,24.978821,121.321589
基隆東岸地下停車場站,基隆市仁愛區仁二路236號(地下一樓機車停車場)(近基隆廟口),24HR,已啟用,25.130253,121.743796
基隆港海產樓站,基隆市信義區信二路181號(轉角義六路旁停車場)(近衛生福利部基隆醫院),24HR,已啟用,25.129193,121.750977
大潤發中和景平店站,新北市中和區景平路182號(地下三樓機車停車場)(近景平路/景平路240巷口),24HR,已啟用,24.992427,121.516377
大潤發台中忠明店站,台中市北區忠明路499號(近國軍台中總醫院),24HR,已啟用,24.163088,120.671618
大潤發台南店站,台南市北區臨安路2段310號(近B1機車停車場),11:00 ~ 21:30,已啟用,23.004520,120.203000
大潤發鳳山店站,高雄市鳳山區文化路59號(近鳳山商工),24HR,已啟用,22.633850,120.354820
大鳥摩哆站,台中市西屯區朝馬路203-6號(近虹陽橋),24HR,已啟用,24.173656,120.623109
奇美實業站,台南市仁德區三甲里59-1號(奇美實業機車停車場出入口),24HR,已啟用,22.927446,120.243088
家樂福三民店站,台北市松山區三民路160號(二樓機車停車場)(近民權國小),08:00 ~ 22:00,已啟用,25.061716,121.563271
家樂福中原店站,桃園市中壢區中華路二段501號(地下二樓機車停車場)(近桃園中壢區戶政事務本所),24HR,已啟用,24.962393,121.231466
家樂福便利購永康二王店站,台南市永康區中山南路696號(近寶雅生活百貨),24HR,已啟用,23.020150,120.244360
家樂福北大店站,新北市樹林區大雅路288號(地下二樓機車停車場)(近大雅路/學勤路口),09:00 ~ 23:00,已啟用,24.947527,121.379750
家樂福台南中正店站,台南市永康區中正南路358號(近平面機車停車場旁),24HR,已啟用,23.032400,120.227880
家樂福台南中華店站,台南市永康區中華二路350號(近三商巧福斜對面),24HR,已啟用,23.008320,120.230480
家樂福台南仁德店站,台南市仁德區中山路711號(近大魯閣打擊練習場),24HR,已啟用,22.972420,120.247310
家樂福台南安平店站,台南市中西區中華西路2段16號(近永華路一段/中華西路二段路口),24HR,已啟用,22.988909,120.186984
