站名,地址,營業時間,目前狀態,緯度,經度
孚海國際站,台北市內湖區瑞光路358巷38弄34號 (近內湖科學園區),24HR,已啟用,25.075914,121.572819
Gogoro 西門西寧店站,台北市萬華區西寧南路62號 (於萬年商業大樓對面),24HR,已啟用,25.043788,121.506186
熊展通訊站,台北市萬華區雙園街150號1樓 (近環河南路/雙園街口),24HR,已啟用,25.031659,121.491934
東吳大學城區部站,台北市中正區延平南路133巷底 (於東吳大學校區內),24HR,已啟用,25.037805,121.509056
便利停車場建國站,台北市中山區建國北路二段11巷 (近建國北路/長春路口),24HR,已啟用,25.053452,121.537860
台塑政大站,台北市文山區指南路一段53號 (近木新路/指南路口),24HR,已啟用,24.987925,121.570822
台北捷運內湖機廠站(建置中),台北市南港區經貿一路265號 (近內湖機廠),24HR,建置中,25.061271,121.618311
Gogoro 全球體驗中心站,台北市信義區松壽路18號 (近華納威秀廣場),24HR,已啟用,25.035705,121.566811
台北捷運大湖公園站(建置中),台北市內湖區成功路5段11號 (近捷運大湖公園站2號出口),24HR,建置中,25.083338,121.602664
7-ELEVEN榮鑫門市站,台北市中山區建國北路三段89及91號前 (近榮星花園),24HR,已啟用,25.065693,121.536686
丁香豆花長安店站,台北市松山區八德路二段387號 (近台安醫院),24HR,已啟用,25.048004,121.545249
家樂福三民店站,台北市松山區三民路160號2樓 (近民權國小),08:00 ~ 22:00,已啟用,25.061637,121.563343
北投熱海溫泉大飯店站,台北市北投區光明路258號 (近北投溫泉博物館),24HR,已啟用,25.136547,121.509322
台北捷運劍南路站(建置中),台北市中山區北安路798號 (近捷運劍南路站2號出口),24HR,建置中,25.084767,121.555097
中油中崙站,台北市中山區八德路二段214號 (近八德路/龍江路口),24HR,已啟用,25.046397,121.539625
陸海加氣站,台北市松山區濱江街375號 (近台北松山機場濱江街側),24HR,已啟用,25.072577,121.552997
霖泓通訊-文山木柵店站,台北市文山區興隆路四段49-2號 (近興隆路/木柵路口),24HR,已啟用,24.990098,121.559738
中油內湖站,台北市內湖區民權東路六段50號 (於中天電視大樓對面),24HR,已啟用,25.068469,121.584293
中油勝利站,台北市大安區建國南路二段75-1號 (於大安森林公園建國南路側),24HR,已啟用,25.031030,121.537669
Gogoro 士林文林店站,台北市士林區文林路65號 (近士林夜市),24HR,已啟用,25.087291,121.525723
中油汀州路站,台北市中正區汀州路三段1號 (近汀州路/師大路口),24HR,已啟用,25.020661,121.525946
Gogoro 饒河服務中心站,台北市松山區八德路四段650號 (近饒河夜市),24HR,已啟用,25.049931,121.574990
台北捷運劍潭站(建置中),台北市士林區中山北路5段65號 (近捷運劍潭站1號出口),24HR,建置中,25.084873,121.525078
23區站,台北市士林區重慶北路四段241號 (近重陽大橋),24HR,已啟用,25.085960,121.510856
台北捷運士林站(建置中),台北市士林區福德路1號 (近捷運士林站2號出口),24HR,建置中,25.093535,121.526230
台亞承德路站,台北市北投區承德路七段303號 (近立農公園),24HR,已啟用,25.116785,121.504170
先奕實業站,台北市大同區昌吉街248號 (近環河北路/昌吉街口),24HR,已啟用,25.065863,121.510003
中油東湖站,台北市內湖區康寧路三段225號 (近捷運東湖站3號出口),24HR,已啟用,25.067589,121.612125
機器人王國站,台北市中正區中華路二段165號 (近中華路/莒光路口),24HR,已啟用,25.030812,121.504192
中油陽明山站,台北市士林區格致路3號 (近陽明山頂好超市),24HR,已啟用,25.135388,121.545976
中油新生北路站,台北市中山區新生北路二段71號 (近新生北路/民生東路口),24HR,已啟用,25.056500,121.528018
禾悅生活士林店站,台北市士林區承德路四段233號 (近百齡高中),24HR,已啟用,25.088469,121.522063
Gogoro 圓山服務中心站,台北市大同區承德路三段237號 (近花博公園),24HR,已啟用,25.070867,121.518740
蘋果派站,台北市文山區羅斯福路五段183號 (近捷運萬隆站3號出口),11:00 ~ 22:00,已啟用,25.002812,121.538904
台北捷運民權西路站(建置中),台北市中山區民權西路72號 (近捷運民權西路站1號出口),24HR,建置中,25.062612,121.519528
中油福林站,台北市士林區中山北路五段465號 (近士林夜市),24HR,已啟用,25.092720,121.527594
台塑福華站,台北市文山區興隆路2段244巷1號 (近萬芳醫院),24HR,已啟用,25.000852,121.553948
中油南港站,台北市南港區南港路二段50號 (近南港火車站),24HR,已啟用,25.054144,121.604651
中油山隆華中站,台北市萬華區萬大路388號 (近東園國小),24HR,已啟用,25.021848,121.498647
21世紀不動產天母三越加盟店站,台北市士林區天母東路67號 (近新光三越百貨天母店),24HR,已啟用,25.118233,121.534309
上下工站,台北市信義區嘉興街181巷9弄54號 (近通化街夜市),24HR,已啟用,25.026930,121.557868
中油山隆萬大站,台北市萬華區萬大路207號 (近萬大路/西藏路口),24HR,已啟用,25.027161,121.500717
台北捷運復興崗站(建置中),台北市北投區中央北路3段53巷10號 (近捷運復興崗站1號出口),24HR,建置中,25.137474,121.485444
台北捷運芝山站(建置中),台北市士林區福國路70號 (近捷運芝山站1號出口),24HR,建置中,25.103060,121.522514
中油信義路站,台北市大安區信義路四段374號 (近捷運信義安和站4號出口),24HR,已啟用,25.032922,121.555483
台北捷運關渡站(建置中),台北市北投區大度路3段296巷51號 (捷運關渡站1號出口),24HR,建置中,25.125651,121.467120
KBN鐵馬堂站,台北市信義區信安街60號 (近通化街夜市),24HR,已啟用,25.026564,121.557683
台北捷運忠義站(建置中),台北市北投區中央北路4段301號 (近捷運忠義站1號出口),24HR,建置中,25.130969,121.473410
Gogoro 光華八德店站,台北市中正區八德路一段27號 (近光華商場),24HR,已啟用,25.044102,121.531252
台北捷運唭哩岸站(建置中),台北市北投區東華街2段301號 (近捷運唭哩岸站2號出口),24HR,建置中,25.120876,121.506219
駿德重車站,台北市內湖區安康路28號 (近石潭公園),09:00 ~ 22:00,已啟用,25.062592,121.593749
Impact Hub站,台北市大安區和平東路二段265巷3號 (近和平東路/復興南路口),09:00 ~ 21:00,已啟用,25.025314,121.544104
中油科學園區站,新竹市東區龍山里八鄰工業東二路2-2號 (近新竹科學園區),24HR,已啟用,24.779536,121.004467
HiLife 新竹竹亮店站,新竹市東區光復路二段962號1樓 (近市立體育場),24HR,已啟用,24.803544,120.979972
南山人壽新竹科技大樓站,新竹市東區公道五路二段176號 (近新竹美麗信酒店),24HR,已啟用,24.799743,121.004877
西歐中華站,新竹市東區中華路二段59號 (近新竹高工),24HR,已啟用,24.808151,120.981899
中油關東橋站(建置中),新竹市東區光復路一段529號 (近光武國中),24HR,建置中(其他狀態100),24.784764,121.013255
Nova資訊廣場新竹光復店站,新竹市東區光復路二段194巷3號 (近國立清華大學),24HR,已啟用,24.794371,121.000882
中油新竹站,新竹市東區中華路二段347號 (近太平洋SOGO新竹站前店),24HR,已啟用,24.803351,120.974342
中油光復路站,新竹市東區光復路二段716號 (近馬偕紀念醫院新竹院區),24HR,已啟用,24.800463,120.989943
台灣中油百祥加油站,新竹市香山區中華路五段111號 (近新竹市香山高中),24HR,已啟用,24.787022,120.926565
Gogoro 新竹北大店站,新竹市北區北大路321號1、2樓 (近中正棒球場),24HR,已啟用,24.805894,120.962052
中油南寮站,新竹市北區東大路四段292號 (近新竹17公里海岸風景區),24HR,已啟用,24.845864,120.927897
中油竹南站,苗栗縣竹南鎮東平路101號 (近東平路/維新路口),24HR,已啟用,24.684909,120.883089
中油八堵站(建置中),基隆市暖暖區八堵路158號 (近八堵火車站),24HR,建置中,25.103740,121.725985
中油安樂站(建置中),基隆市安樂區麥金路441號 (近基隆市婦幼福利中心),24HR,建置中,25.126587,121.718869
基隆東岸地下停車場站,基隆市仁愛區仁二路236號B1F (近基隆廟口),24HR,已啟用,25.130253,121.743796
中油北寧路站(建置中),基隆市中正區北寧路37號 (近國立台灣海洋大學),24HR,建置中,25.151179,121.773807
基隆港海產樓站,基隆市信義區信二路181號 (近衛生福利部基隆醫院),24HR,已啟用,25.129193,121.750977
中油成功一路站,基隆市仁愛區成功一路105號 (近成功市場),24HR,已啟用,25.126933,121.738021
中油府前站(建置中),新竹縣竹北市縣政二路112號 (近縣政二路/光明六路口),24HR,建置中,24.823853,121.015164
HiLife 竹北竹文店站,新竹縣竹北市縣政九路215號 (近縣鎮九路/文信路口),24HR,已啟用,24.831976,121.011947
中油竹東站,新竹縣竹東鎮東寧路一段2號 (近東寧路/中豐路口),24HR,已啟用,24.722748,121.096776
HiLife 竹北竹發店站,新竹縣竹北市縣政二路175號 (近縣政二路/文信路口),24HR,已啟用,24.831333,121.018018
HiLife 竹北北鮮店站,新竹縣竹北市大同街33號 (近三民路/大同街口),24HR,已啟用,24.834422,121.009722
湖口北海加油站,新竹縣湖口鄉光華路650號 (近光華路/文化路口),24HR,已啟用,24.875394,121.023212
中油新湖口站(建置中),新竹縣湖口鄉中正路二段20號 (近中正路/達生路口),24HR,建置中(其他狀態100),24.896844,121.047682
中油順興站,新竹縣湖口鄉八德路一段396號 (近中山路/八德路口),24HR,已啟用,24.880017,121.036497
中油芎林站(建置中),新竹縣芎林鄉上山村文山路554號 (近文山路/文德路口),24HR,建置中,24.777939,121.077450
普拉伯義大利坊竹北文興站,新竹縣竹北市文興路一段273號 (近文興路/嘉豐南路口),24HR,已啟用,24.809012,121.031764
中油關西站,新竹縣關西鎮中豐路二段50號 (近中豐路/豐德街口),24HR,已啟用,24.793601,121.179728
特力家居站,桃園市蘆竹區中正路1號 (近榮興橋),24HR,已啟用,25.040449,121.295583
中油中壢工二站,桃園市中壢區吉林路37巷15號 (近文化公園),24HR,已啟用,24.979948,121.246969
北基東宏加油站,桃園市平鎮區南東路69號 (近大潤發平鎮店),24HR,已啟用,24.920930,121.214283
Gogoro 桃園中正店站,桃園市桃園區中正路50號1樓 (近統領百貨桃園店),24HR,已啟用,24.990967,121.313085
中油梅溪站,桃園市楊梅區中山北路一段391號 (近天成醫院),24HR,已啟用,24.908575,121.159274
中油大竹站,桃園市蘆竹區大竹路503號 (近大竹路/大福路口),24HR,已啟用,25.022447,121.260993
環球林口A8店站(入場前30分鐘免費),桃園市龜山區文化一路10巷42弄B2F (近林口長庚紀念醫院),24HR,已啟用,25.060071,121.370365
中油大園站,桃園市大園區中正東路58號 (近中正東路/中正一街口),24HR,已啟用,25.063243,121.199127
中油富岡站,桃園市楊梅區民富路三段574號 (近民富路/員本路口),24HR,已啟用,24.933660,121.093314
台灣中油健行加油站,桃園市桃園區健行路29號 (近家樂福桃園店),24HR,已啟用,25.022010,121.308650
Gogoro 桃園服務中心站,桃園市桃園區復興路20號1樓 (近桃園學苑),24HR,已啟用,24.990983,121.318401
台灣中油來翔加油站,桃園市桃園區民生路33號 (近新光三越桃園站前店),24HR,已啟用,24.990977,121.314960
中油大溪站,桃園市大溪區瑞安路一段268號 (近大溪橋),24HR,已啟用,24.885623,121.279592
Nova資訊廣場中壢店站,桃園市中壢區中正路389號 (近中正路/明德南路口),24HR,已啟用,24.955710,121.215123
家樂福中原店站,桃園市中壢區中華路二段501號B2F (近桃園市中壢區戶政事務所本所),24HR,已啟用,24.962393,121.231466
台灣表面黏著科技站,桃園市桃園區桃鶯路437號 (近可口可樂世界博物館),24HR,已啟用,24.978821,121.321589
台灣中油內壢加油站,桃園市中壢區環中東路346號 (近環中東路/永福路口),24HR,已啟用,24.961878,121.254106
北基朝陽加油站,桃園市桃園區三民路二段236號 (近朝陽森林公園),24HR,已啟用,25.000499,121.311091
台灣中油東勇加油站,桃園市八德區東勇街246號 (近桃55鄉道東勇街口),24HR,已啟用,24.962546,121.306867
山隆加油站龍興站,桃園市中壢區龍興路693號 (近家樂福中壢店),24HR,已啟用,24.944908,121.245065
中油三民路站,桃園市桃園區三民路一段150號 (近三民運動公園),24HR,已啟用,24.999522,121.320535
中油春日路站,桃園市桃園區春日路971號 (近春日路/寶山街口),24HR,已啟用,25.010544,121.310304
中油介壽站,桃園市桃園區介壽路324號 (近福林公園),24HR,已啟用,24.980268,121.305094
西歐桃園中山站,桃園市桃園區中山路1536號 (近衛生福利部桃園醫院),24HR,已啟用,24.975859,121.265980
Gogoro 中壢復興店站,桃園市中壢區復興路71號,24HR,已啟用,24.956288,121.224803
中油武陵站,桃園市桃園區中山路1020號 (近國立武陵高級中學),24HR,已啟用,24.988393,121.284584
