站名,地址,營業時間,目前狀態,緯度,經度
中油關西站(建置中),新竹縣關西鎮中豐路二段50號,24HR,建置中,24.793601,121.179728
中油府前站(建置中),新竹縣竹北市縣政二路112號,24HR,建置中,24.823853,121.015164
HiLife 竹北竹文店站,新竹縣竹北市縣政九路215號,24HR,已啟用,24.831976,121.011947
中油竹東站(建置中),新竹縣竹東鎮東寧路一段2號,24HR,建置中,24.722748,121.096776
HiLife 竹北竹發店站,新竹縣竹北市縣政二路175號,24HR,已啟用,24.831333,121.018018
HiLife 竹北北鮮店站,新竹縣竹北市大同街33號,24HR,已啟用,24.834422,121.009722
湖口北海加油站,新竹縣湖口鄉光華路650號,24HR,已啟用,24.875394,121.023212
中油新湖口站(建置中),新竹縣湖口鄉中正路二段20號,24HR,建置中,24.896844,121.047682
中油順興站,新竹縣湖口鄉八德路一段396號,24HR,已啟用,24.880017,121.036497
中油芎林站(建置中),新竹縣芎林鄉上山村文山路554號,24HR,建置中,24.777939,121.077450
普拉伯義大利坊竹北文興站,新竹縣竹北市文興路一段273號,24HR,已啟用,24.809012,121.031764
中油梅溪站(建置中),桃園市楊梅區中山北路一段391號,24HR,建置中,24.908790,121.159381
中油大竹站(建置中),桃園市蘆竹區大竹路503號,24HR,建置中,25.022447,121.260993
環球林口A8店站(入場前30分鐘免費),桃園市龜山區文化一路10巷42弄(地下二樓機車停車場),24HR,已啟用,25.060071,121.370365
中油大園站(建置中),桃園市大園區中正東路58號,24HR,建置中,25.063243,121.199127
中油富岡站(建置中),桃園市楊梅區民富路三段574號,24HR,建置中,24.933660,121.093314
台灣中油健行加油站,桃園市桃園區健行路29號,24HR,已啟用,25.022010,121.308650
Gogoro 桃園服務中心站,桃園市桃園區復興路20號,24HR,已啟用,24.990983,121.318401
台灣中油來翔加油站,桃園市桃園區民生路33號,24HR,已啟用,24.990977,121.314960
Nova資訊廣場中壢店站,桃園市中壢區中正路389號,24HR,已啟用,24.955710,121.215123
家樂福中原店站,桃園市中壢區中華路二段501號B2F (近桃園市中壢區戶政事務所本所),24HR,已啟用,24.962393,121.231466
台灣表面黏著科技站,桃園市桃園區桃鶯路437號,24HR,已啟用,24.978821,121.321589
台灣中油內壢加油站,桃園市中壢區環中東路346號,24HR,已啟用,24.961878,121.254106
北基朝陽加油站,桃園市桃園區三民路二段236號,24HR,已啟用,25.000499,121.311091
